nome;descricao;img1;grupo;img2;img3;img4;img5;img6;sugestao
Gorro de Pele com Pala;Proteja-se do frio com os nossos gorros de pele com pala, revestidos de pelo escuro por dentro, feitos com os melhores materiais 100% nacionais, que para além de quentes e confortáveis, estão sempre na moda.;static/produtos/peles/Gorros/Gorro_de_Pele_com_Pala-removebg-preview.png;51;;;;;;Os nossos gorros de pele de inverno, são o acessório ideal para se manter sempre quente e em estilo nos dias mais frios, escolha entre beges, castanhos e com ou sem pala. Proteja-se com o Quadradinho.
Luvas de Pele;As nossas luvas de pele, forradas com pêlo por dentro, são essenciais para o conforto das suas mãos nos dias mais frios, escolha entre bege, castanho e castanho claro. A sua composição e estrutura fazem desta peça de roupa o acessório perfeito para os dias de inverno. Proteja-se com o Quadradinho!;static/produtos/peles/Luvas/Luvas_de_Pele_Bege_1.png;52;static/produtos/peles/Luvas/Luvas_de_Pele_Castanho_2.png;static/produtos/peles/Luvas/Luvas_de_Pele_Castanho_Escuro_3.png;;;;Estas luvas de pele são uma obrigação no seu guarda-roupa nas estações mais frias. Irão acrescentar um toque de estilo ao seu look, quentes e confortáveis, ideias para combinar com qualquer acessório de inverno, incluindo os nossos.
Chinelos Pantufa;Proteja-se das baixas temperaturas, com os nossos chinelos pantufa unisexo, quentes, confortáveis e produzidos com os melhores materiais, apresentam uma sola acolchoada com um toque suave, são o calçado ideal para relaxar em casa.;static/produtos/peles/pantufas/Chinelos_Pantufa_1-removebg-preview.png;53;static/produtos/peles/pantufas/Chinelos_Pantufa_2-removebg-preview.png;static/produtos/peles/pantufas/Chinelos_Pantufa_3-removebg-preview.png;;;;Aposte na nossa coleção de chinelos pantufas, fabricados em Portugal, que se tornarão no seu melhor aliado no combate aos dias mais frios!
Pantufas Pele Clara;Desde os mais novos aos mais velhos, as nossas pantufas da Serra da Estrela prometem oferecer-lhe o conforto e o calor, que necessita nos dias mais frios. Disponíveis em duas cores, rosa claro e branco, feitas de pêlo de ovelha natural, são o calçado ideal para o inverno.;static/produtos/peles/pantufas/Pantufas_Pele_Clara-removebg-preview.png;53;static/produtos/peles/pantufas/Pantufas_Pele_Clara_2.png;;;;;Não há nada como tirar os sapatos no final de um longo dia e calçar um par de pantufas confortáveis. Escolha entre uma ampla variedade de cores e modelos e opte pelas nossas pantufas, seja qual for o seu look descontraído, descanse os seus pés e não passe frio neste inverno!
Pantufas Pele Escura;As nossas clássicas pantufas da Serra da Estrela são um produto 100% nacional, fabricado através de lãs cuidadosamente selecionadas e preparadas. Dos mais pequeninos aos mais velhos, é o produto ideal para toda a família no combate aos dias mais frios! ;static/produtos/peles/pantufas/Pantufas_Pele_Escura-removebg-preview.png;53;;;;;;Não há nada como tirar os sapatos no final de um longo dia e calçar um par de pantufas confortáveis. Escolha entre uma ampla variedade de cores e modelos e opte pelas nossas pantufas, seja qual for o seu look descontraído, descanse os seus pés e não passe frio neste inverno!
Botas Neve;Estas botas de neve revestidas de pêlo, disponíveis em duas cores, azul e vermelho e, ainda em variadíssimos tamanhos, prometem diversão e conforto para toda a família!;static/produtos/kit_neve/Botas/Botas_Neve_1.png;61;static/produtos/kit_neve/Botas/Botas_Neve_2.png;;;;;Se quer estar preparado para a neve gelada e manter os pés quentinhos, sabe o que precisa de fazer!
Luvas Neve Criança;Luvas para a neve para as crianças poderem brincar na neve, sem ter de se preocupar com constipações e aproveitarem da melhor maneira a experiência de fazer bonecos de neve.;static/produtos/kit_neve/Luvas/Luvas_Crianca_1.png;62;static/produtos/kit_neve/Luvas/Luvas_Crianca_2.png;;;;;Se quer estar preparado para a neve gelada e manter as mãos secas, sabe o que precisa de fazer!
Luvas Neve Adulto;Luvas para a neve de diferentes cores e feitios para brincar com toda a família e passar uma bela manhã/tarde na nossa maravilhosa Serra da Estrela.;static/produtos/kit_neve/Luvas/Luvas_Tons_Azul-Amarelo_1.png;62;static/produtos/kit_neve/Luvas/Luvas_Tons_Azul-Amarelo_2.png;static/produtos/kit_neve/Luvas/Luvas_Tons_Azul-Rosa_1.png;static/produtos/kit_neve/Luvas/Luvas_Tons_Azul-Rosa_2.png;static/produtos/kit_neve/Luvas/Luvas_Tons_Rosa-Cinza_1.png;static/produtos/kit_neve/Luvas/Luvas_Tons_Rosa-Cinza_2.png;Se quer estar preparado para a neve gelada e manter as mãos secas, sabe o que precisa de fazer!
Trenó Prancha-Circular;Um trenó circular ideal para apenas uma pessoa. Possui duas pegas que permitem que se segure e rode no seu próprio centro. Disponíveis em diversas cores!;static/produtos/kit_neve/Trenos/Treno_Circular_1.png;63;static/produtos/kit_neve/Trenos/Treno_Circular_2.png;static/produtos/kit_neve/Trenos/Treno_Circular_3.png;static/produtos/kit_neve/Trenos/Trenos_1.png;static/produtos/kit_neve/Trenos/Trenos_2.png;;Descer na neve fofa da Serra da Estrela é ótimo! E que tal, juntar-lhe mais um bocadinho de diversão e descer a rodar? Este trenó promete trazer muita diversão e muitas cabeças zonzas!
Trenó com Travão;Trenó que permite fazer uma descida controlada na neve devido às duas pegas laterais e, ainda, travar a fundo quando necessário. Disponível em diversas cores.;static/produtos/kit_neve/Trenos/Treno_com_travao_1.png;63;static/produtos/kit_neve/Trenos/Treno_com_travao_2.png;static/produtos/kit_neve/Trenos/Trenos_1.png;static/produtos/kit_neve/Trenos/Trenos_2.png;;;Os seus filhos nunca experimentaram andar de trenó e tem receio que se magoem? Este trenó é indicado para um adulto e uma criança e é por isso, um momento perfeito para ensinar e se divertir em família.
Trenó Pá;Trenó em estilo de pá, muito prático, leve e flexível. Tanto na descida como na subida basta segurar na pega. Disponível em diversas cores.;static/produtos/kit_neve/Trenos/Treno_Pa_1.png;63;static/produtos/kit_neve/Trenos/Treno_Pa_2.png;static/produtos/kit_neve/Trenos/Treno_Pa_3.png;static/produtos/kit_neve/Trenos/Treno_Pa_4.png;static/produtos/kit_neve/Trenos/Trenos_1.png;static/produtos/kit_neve/Trenos/Trenos_2.png;Já não tem espaço no carro ou quer minimizar o espaço ocupado? Devido às suas caraterísticas este trenó é a escolha certa para iniciar as descidas na neve das crianças.
Assador de Chouriço;Os nossos assadores de chouriço com a marca Serra da Estrela são indispensáveis em qualquer casa portuguesa. Este pote de barro é o acessório ideal para preparar um chouriço assado de forma muito simples e rápida para proveito sozinho ou num convívio com os amigos. O seu tamanho e facilidade de transporte faz com que este assador portátil possa ser utilizado em qualquer local.;static/produtos/loicas/Artesanais/_Art__Assador_de_Chourico_de_Barro.png;71;;;;;;Com uma faca dê vários golpes na perpendicular ao longo do chouriço - isto ajudará a assar o chouriço por dentro. Sirva o chouriço cortado em rodelas com pão e queijo ou se preferir com o caldo verde quentinho!
Suporte para utensílios de cozinha;Certamente quando cozinha já teve que pensar várias vezes onde colocaria os utensílios que estão a ser utilizados. Se deixar na panela queima, se deixar de cima da bancada suja, se deixar num prato mais loiça para lavar. Aqui apresentamos-lhes uma solução antiga, utilizada há muitos anos. Este suporte para todo o tipo de utensílios de cozinha vai resolver o seu problema sobre onde deixar os seus utensílios. Quer opção melhor do que uma Serra da Estrela inteira a segurar o seu utensílio?;static/produtos/loicas/Artesanais/_Art__Suporte_para_colheres_de_cozinha.png;71;;;;;;Para além da sua utilidade prática, este produto pode também ser usado para decoração da sua cozinha num estilo mais clássico das zonas rurais.
Buda;Buda que em hindu (língua oficial da Índia) significa “Iluminado” foi o nome dado a Siddhartha Gautama, líder religioso na Índia, cuja bondade e sabedoria lhe valeram esse título. Sendo O Quadradinho uma loja de pessoas para pessoas apresentamos uma bela peça de decoração para quem se identifique e/ou para quem goste desta filosofia ou religião originária na Índia, mas que influencia cada vez mais pessoas no Ocidente.;static/produtos/loicas/Decorativas/_D__Buda.png;72;static/produtos/loicas/Decorativas/_D__Buda_2.png;;;;;Mais do que a visível beleza das peças, O Quadradinho reforça a cada vez mais atual ideia passado pelo Budismo. Olhem para o vosso interior, tornem-se conscientes e, sobretudo, acreditem que riqueza e luxo, não trazem felicidade. Tentem fazer sempre o bem e viver uma vida mais leve e tranquila.
